Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
12/31/2019,156.0468903,9.144481659,133.5532837,1337.02002,19.81383514,76.79124451,36.62997055,58.20392227,72.78393555,127.3607025,35.94171143,45.99354553,34.30011749,58.3979187,45.86000061,68,234.912384,1847.839966,49.62760162,48.72947693
01/02/2020,158.9362793,9.262475014,135.1724243,1367.369995,20.0452404,78.07927704,36.5314827,57.87213898,74.44460297,128.6719513,35.73937607,46.77604294,34.70914078,59.36390305,49.09999847,69.05999756,239.5147705,1898.01001,50.52074814,49.30070877
01/03/2020,156.9572601,9.055987358,133.3886108,1360.660034,19.79455566,76.60861206,35.73367691,57.25597763,73.72084045,127.6457596,35.92331696,46.01286697,33.98847198,58.64185333,48.59999847,68.08000183,235.6811218,1874.969971,49.70527267,48.6713829
01/06/2020,157.3629608,9.006822586,133.2825623,1394.209961,19.87168884,76.36830902,35.99961472,57.13274384,74.30826569,127.4177399,35.9601059,46.17709351,33.93977356,58.47597504,48.38999939,69.11000061,236.6694794,1902.880005,49.53052521,49.12643814
01/07/2020,155.9281769,9.095317841,131.0166779,1393.339966,19.91989899,75.70507813,35.47759628,56.49761581,73.95879364,127.5032425,36.09806061,45.87761688,33.71578217,57.50024033,48.25,70.19999695,239.534729,1906.859985,49.43344116,49.62021637
01/08/2020,158.4118347,9.095317841,132.0387268,1404.319946,20.18022537,76.28179932,35.97991562,56.60189438,75.14852142,128.5674286,36.20842361,45.90660095,34.05664063,57.53927231,47.83000183,70.45999908,239.9840088,1891.969971,50.06446457,49.67831421
01/09/2020,160.3908691,9.105151176,132.5208435,1419.829956,20.47912025,76.97387695,35.71398163,56.36722946,76.74472809,129.926178,36.16181946,45.71339035,34.11507416,57.86126328,48.97000122,71.02999878,242.6196594,1901.050049,50.54016495,49.84290695
01/10/2020,159.6487274,9.095317841,131.1998901,1429.72998,20.61410522,76.17606354,34.31536484,56.50132751,76.91822052,129.8786621,35.94746017,45.52984238,33.83265305,57.50999832,48.16999817,70.86000061,243.917511,1883.160034,50.68578339,48.93280029
01/13/2020,161.5684052,9.085484505,132.2894135,1439.22998,20.6912384,77.52176666,34.83737946,56.65457535,78.56153107,129.7931671,35.50941467,46.34132385,34.14429474,58.14422989,48.75,71.63999939,251.5648804,1891.300049,51.23914719,49.26198578
01/14/2020,160.4304504,9.134649277,133.8321838,1430.880005,20.63338661,78.73288727,35.10332108,56.54921341,77.5007019,129.0520172,35.500103,46.16743469,34.3975029,57.9881134,48.20999908,72.47000122,246.8726349,1869.439941,51.31681061,49.38785172
